id_passenger,recency,frequency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass,Segment
5030a2d310,89,8,21.72999954223632,2,2,2,222,Other
504b7158e7,86,6,13.23999977111816,1,3,3,133,Recent Passenger
5051c9bad7,89,4,9.75,2,3,3,233,Other
50535dadc8,89,5,14.22999966144561,2,3,3,233,Other
5058b7e18c,91,16,58.199998855590806,3,1,1,311,Almost Lost Passenger
505bd0618b,86,25,108.93999862670896,1,1,1,111,Best Passenger
5060b30a9a,86,20,47.20999908447265,1,1,1,111,Best Passenger
5063ca8e2c,86,27,109.42999851703641,1,1,1,111,Best Passenger
507f2ff18b,86,21,92.06999897956845,1,1,1,111,Best Passenger
507fd19023,86,19,50.949998855590806,1,1,1,111,Best Passenger
5080f5c1bf,89,14,40.07999908924101,2,1,2,212,Loyal Passenger
508c5c74f3,89,18,57.45999932289122,2,1,1,211,Loyal Passenger
50946fd50b,86,4,15.73999977111816,1,3,3,133,Recent Passenger
50a27acfe0,86,1,4.5,1,4,4,144,Recent Passenger
50aeab356f,88,6,20.22999954223632,2,3,2,232,Other
50c33b6c10,91,6,14.4799997806549,3,3,3,333,Other
50c4361f34,102,3,11.85999965667724,4,3,3,433,Other
50cb08d075,90,3,19.0,2,3,3,233,Other
50d483e2c7,109,1,2.75,4,4,4,444,Lost Cheap Passenger
50d7410a62,87,7,33.3499994277954,1,2,2,122,Recent Passenger
50ee775eb3,103,2,4.73999977111816,4,4,4,444,Lost Cheap Passenger
51023d9a26,102,5,19.369999885559082,4,3,3,433,Other
511b9cf4be,105,2,6.73999989032745,4,4,4,444,Lost Cheap Passenger
511e500b74,86,2,5.0,1,4,4,144,Recent Passenger
511ea50abe,94,11,32.60999977588653,3,2,2,322,Other
512e932adb,94,7,31.3499994277954,3,2,2,322,Other
513bda76e9,89,9,36.0999994277954,2,2,2,222,Other
5144e963ea,88,15,75.8399991989136,2,1,1,211,Loyal Passenger
51533c318d,87,8,38.349999666213975,1,2,2,122,Recent Passenger
5155b52dbd,98,1,3.5,4,4,4,444,Lost Cheap Passenger
5157e6c7e3,88,12,45.46999931335448,2,2,1,221,Big Spenders
515f15880a,87,5,21.0999994277954,1,3,2,132,Recent Passenger
51659951a6,86,10,25.969999670982354,1,2,2,122,Recent Passenger
516607a840,115,1,6.619999885559079,4,4,4,444,Lost Cheap Passenger
516d5777e5,86,21,54.58999919891356,1,1,1,111,Best Passenger
517dd45978,96,2,5.75,3,4,4,344,Other
51922fb8a4,104,1,2.8699998855590803,4,4,4,444,Lost Cheap Passenger
51b970afad,89,13,45.97999954223632,2,2,1,221,Big Spenders
